ordem_rota,id_original,nome,endereco,bairro,status_visita,visitado_em,tamanho,material_entregue,foto_fachada,dias_horarios,telefone,whatsapp,email,site_instagram,pessoa_contato,receptividade,potencial_parceria,proximo_passo,observacoes
1,01,Centro Espírita Discípulos de Jesus,"R. Félix da Cunha, 64 - Tijuca, Rio de Janeiro - RJ, 20260-300",Tijuca,pendente,,,,,,,,,,,,,,
2,03,Fraternidade Espírita Amor e Paz,"R. Guapiara, 9 - Tijuca, Rio de Janeiro - RJ, 20521-180",Tijuca,pendente,,,,,,,,,,,,,,
3,02,Agremiação Espírita Francisco de Paula,"R. dos Araújos, 28 - Tijuca, Rio de Janeiro - RJ, 20521-000",Tijuca,pendente,,,,,,,,,,,,,,
4,30,Grupo Espírita Auta de Souza,"Rua Almirante João Candido Brasil, 335 - Maracanã - Rio de Janeiro – RJ, 20511020",Maracanã,pendente,,,,,,,,,,,,,,
5,13,Centro Espirita Jacques Chulan,"R. Visc. de Itamarati, 63 - Maracanã, Rio de Janeiro - RJ, 20550-140",Maracanã,pendente,,,,,,,,,,,,,,
6,29,Casa da Caridade - Instituição Cristã Espírita de Estudos e Benefícios,"R. Prof. Eurico Rabelo, 51 - Maracanã, Rio de Janeiro - RJ, 20271-150",Maracanã,pendente,,,,,,,,,,,,,,
7,31,Lar Cristão Maria de Nazareth,"Rua Oito de Dezembro, 309 - Maracanã - Rio de Janeiro – RJ – 20550200",Maracanã,pendente,,,,,,,,,,,,,,
8,12,Centro Espirita de Caridade Jesus,"Rua Engenheiro Gama Lôbo, 415 - Vila Isabel, Rio de Janeiro - RJ, 20551-100",Vila Isabel,pendente,,,,,,,,,,,,,,
9,04,Centro Espírita Bezerra de Menezes do Andaraí - CEBMA,"Tv. Caminha, 48 - Andaraí, Rio de Janeiro - RJ, 20541-200",Andaraí,pendente,,,,,,,,,,,,,,
10,05,Grupo Espírita Redenção,"R. Leopoldo, 417 - Andaraí, Rio de Janeiro - RJ, 20541-170",Andaraí,pendente,,,,,,,,,,,,,,
11,28,Centro Espírita Humberto de Campos,"Rua Uruguai, 30 - Andaraí - Rio de Janeiro – RJ",Andaraí,pendente,,,,,,,,,,,,,,
12,06,Centro Espiritualista Irmãos de Fé,"R. Barão de Mesquita, 921 - Grajaú, Rio de Janeiro - RJ, 20540-215",Grajaú,pendente,,,,,,,,,,,,,,
13,08,Grupo Espírita Jesus no Lar,"R. Barão do Bom Retiro, 2183 - Grajaú, Rio de Janeiro - RJ, 20540-341",Grajaú,pendente,,,,,,,,,,,,,,
14,09,CEJN - Centro Espírita Jorge Niemeyer,"R. Barão de Cotegipe, 599 - Vila Isabel, Rio de Janeiro - RJ, 20560-080",Vila Isabel,pendente,,,,,,,,,,,,,,
15,11,Sociedade Espirita Jorge,"R. Luís Barbosa, 36 - Vila Isabel, Rio de Janeiro - RJ, 20560-010",Vila Isabel,pendente,,,,,,,,,,,,,,
16,07,Centro Espírita Ibirajara,"R. Barão de São Francisco, 156 - Vila Isabel, Rio de Janeiro - RJ, 20560-032",Vila Isabel,pendente,,,,,,,,,,,,,,
17,10,Casa de Aramis Associação Espírita,"R. Teodoro da Silva, 752 - Vila Isabel, Rio de Janeiro - RJ, 20560-025",Vila Isabel,pendente,,,,,,,,,,,,,,
18,24,Casa de Apoio Fraterno Ponto do Bem,"R. Antônio Salema, 57 - Vila Isabel, Rio de Janeiro - RJ, 20541-070",Vila Isabel,pendente,,,,,,,,,,,,,,
19,26,Grupo Espírita Discípulos de Samuel,"R. dos Artistas, 151 - Vila Isabel, Rio de Janeiro - RJ, 20511-130",Vila Isabel,pendente,,,,,,,,,,,,,,
20,14,Cabana de Antônio de Aquino,"Av. Paula Sousa, 298 - Maracanã, Rio de Janeiro - RJ, 20271-120",Maracanã,pendente,,,,,,,,,,,,,,
21,16,GEAL - Grupo Espírita André Luiz,"R. Jiquiba, 139 - Maracanã, Rio de Janeiro - RJ, 20271-250",Maracanã,pendente,,,,,,,,,,,,,,
22,15,Grupo Espírita Sebastião,"R. Morais e Silva, 102A - Maracanã, Rio de Janeiro - RJ, 20271-031",Maracanã,pendente,,,,,,,,,,,,,,
23,17,IEVE - IRMANDADE ESPIRITUALISTA VERDADE ETERNA,"R. Paulo Fernandes, 24 - Praça da Bandeira, Rio de Janeiro - RJ, 20271-300",Praça da Bandeira,pendente,,,,,,,,,,,,,,
24,23,GECAF,"Rua Correia Vasques, 17 - Estácio, Rio de Janeiro - RJ, 20211-140",Estácio,pendente,,,,,,,,,,,,,,
25,22,Congregação Espírita Umbandista do Brasil,"R. Sampaio Ferraz, 29 - Estácio, Rio de Janeiro - RJ, 20250-040",Estácio,pendente,,,,,,,,,,,,,,
26,18,Centro Espírita Bezerra Menezes,"R. Maia de Lacerda, 155 - Estácio, Rio de Janeiro - RJ, 20250-001",Estácio,pendente,,,,,,,,,,,,,,
27,19,Grupo Espirita Caminho da Esperanca,"R. Aristídes Lôbo, 51 - Rio Comprido, Rio de Janeiro - RJ, 20250-450",Rio Comprido,pendente,,,,,,,,,,,,,,
28,21,Grupo Samaritanos,"R. Barão de Ubá, 96 - Praça da Bandeira, Rio de Janeiro - RJ, 20260-050",Praça da Bandeira,pendente,,,,,,,,,,,,,,
29,27,Cruzada dos Militares Espíritas,"Rua São Valentim, 142 - Praça da Bandeira - Rio de Janeiro – RJ",Praça da Bandeira,pendente,,,,,,,,,,,,,,
30,20,AEOB - ASSOCIAÇÃO ESPÍRITA OBREIROS DO BEM,"Rua Santa Alexandrina, 667 - Rio Comprido, Rio de Janeiro - RJ, 20261-235",Rio Comprido,pendente,,,,,,,,,,,,,,
31,25,Centro Espirita Caridade Ismael,"Rua Itapiru, 573, Casa 54",Rio Comprido,pendente,,,,,,,,,,,,,,
